# rau, sigma_d, hdust
1.556481e+02 8.982898e-01 1.568030e+00
1.577623e+02 7.849151e-01 1.593624e+00
1.599052e+02 6.858497e-01 1.619634e+00
1.620773e+02 5.992875e-01 1.646070e+00
1.642788e+02 5.236504e-01 1.672937e+00
1.665102e+02 4.575596e-01 1.700242e+00
1.687719e+02 3.998103e-01 1.727993e+00
1.710644e+02 3.493496e-01 1.756197e+00
1.733880e+02 3.052576e-01 1.784861e+00
1.757431e+02 2.667305e-01 1.813994e+00
1.781303e+02 2.330660e-01 1.843601e+00
1.805498e+02 2.036504e-01 1.873692e+00
1.830023e+02 1.779473e-01 1.904274e+00
1.854880e+02 1.554883e-01 1.935355e+00
1.880075e+02 1.358639e-01 1.966944e+00
1.905612e+02 1.187163e-01 1.999048e+00
1.931497e+02 1.037329e-01 2.031676e+00
1.957732e+02 9.064059e-02 2.064837e+00
1.984325e+02 7.920069e-02 2.098539e+00
2.011278e+02 6.920464e-02 2.132791e+00
2.038597e+02 6.047021e-02 2.167602e+00
2.066288e+02 5.283816e-02 2.202981e+00
2.094355e+02 4.616937e-02 2.238938e+00
2.122802e+02 4.034226e-02 2.275481e+00
2.151637e+02 3.525060e-02 2.312621e+00
2.180863e+02 3.080156e-02 2.350367e+00
2.210486e+02 2.691404e-02 2.388730e+00
2.240511e+02 2.351718e-02 2.427718e+00
2.270944e+02 2.054904e-02 2.467343e+00
2.301791e+02 1.795551e-02 2.507614e+00
2.333056e+02 1.568931e-02 2.548543e+00
2.364746e+02 1.370914e-02 2.590140e+00
2.396867e+02 1.197889e-02 2.632416e+00
2.429424e+02 1.046701e-02 2.675382e+00
2.462423e+02 9.145953e-03 2.719049e+00
2.495871e+02 7.991627e-03 2.763429e+00
2.529772e+02 6.982991e-03 2.808533e+00
2.564135e+02 6.101656e-03 2.854373e+00
2.598964e+02 5.331556e-03 2.900962e+00
2.634266e+02 4.658651e-03 2.948311e+00
2.670047e+02 4.070675e-03 2.996432e+00
2.706315e+02 3.556909e-03 3.045340e+00
2.743075e+02 3.107985e-03 3.095045e+00
2.780335e+02 2.715721e-03 3.145562e+00
2.818100e+02 2.372966e-03 3.196903e+00
2.856379e+02 2.073470e-03 3.249082e+00
2.895178e+02 1.811774e-03 3.302113e+00
2.934503e+02 1.583107e-03 3.356010e+00
2.974363e+02 1.383300e-03 3.410786e+00
3.014764e+02 1.208712e-03 3.466456e+00
3.055714e+02 1.056158e-03 3.523035e+00
3.097220e+02 9.228587e-04 3.580538e+00
3.139290e+02 8.063832e-04 3.638978e+00
3.181931e+02 7.046082e-04 3.698373e+00
3.225152e+02 6.156785e-04 3.758737e+00
3.268960e+02 5.379727e-04 3.820087e+00
3.313362e+02 4.700742e-04 3.882438e+00
3.358368e+02 4.107454e-04 3.945806e+00
3.403985e+02 3.589045e-04 4.010209e+00
3.450222e+02 3.136066e-04 4.075663e+00
3.497087e+02 2.740258e-04 4.142185e+00
3.544588e+02 2.394406e-04 4.209793e+00
3.592735e+02 2.092204e-04 4.278504e+00
3.641536e+02 1.828143e-04 4.348337e+00
3.690999e+02 1.597410e-04 4.419310e+00
3.741135e+02 1.395798e-04 4.491441e+00
3.791951e+02 1.219632e-04 4.564750e+00
3.843457e+02 1.065701e-04 4.639255e+00
3.895664e+02 9.311968e-05 4.714976e+00
3.948579e+02 8.136689e-05 4.791933e+00
4.002213e+02 7.109744e-05 4.870146e+00
4.056576e+02 6.212411e-05 4.949636e+00
4.111677e+02 5.428333e-05 5.030423e+00
4.167526e+02 4.743214e-05 5.112528e+00
4.224134e+02 4.144565e-05 5.195974e+00
4.281511e+02 3.621473e-05 5.280782e+00
4.339667e+02 3.164401e-05 5.366974e+00
4.398614e+02 2.765016e-05 5.454573e+00
4.458361e+02 2.416039e-05 5.543601e+00
4.518919e+02 2.111107e-05 5.634083e+00
4.580300e+02 1.844661e-05 5.726041e+00
4.642515e+02 1.611843e-05 5.819501e+00
4.705575e+02 1.408410e-05 5.914486e+00
4.769491e+02 1.230652e-05 6.011021e+00
4.834276e+02 1.075329e-05 6.109132e+00
4.899941e+02 9.396102e-06 6.208844e+00
4.966497e+02 8.210204e-06 6.310183e+00
