# rau, sigma_d, hdust
1.840398e+01 3.711360e+00 4.212953e-01
1.871269e+01 3.680619e+00 4.301474e-01
1.902658e+01 3.650132e+00 4.391854e-01
1.934574e+01 3.619898e+00 4.484134e-01
1.967025e+01 3.589914e+00 4.578352e-01
2.000021e+01 3.560178e+00 4.674551e-01
2.033569e+01 3.530689e+00 4.772770e-01
2.067681e+01 3.501444e+00 4.873053e-01
2.102365e+01 3.472441e+00 4.975444e-01
2.137631e+01 3.443679e+00 5.079985e-01
2.173488e+01 3.415155e+00 5.186724e-01
2.209946e+01 3.386867e+00 5.295705e-01
2.247017e+01 3.358813e+00 5.406976e-01
2.284709e+01 3.330992e+00 5.520585e-01
2.323033e+01 3.303401e+00 5.636581e-01
2.362000e+01 3.276039e+00 5.755014e-01
2.401621e+01 3.248903e+00 5.875936e-01
2.441907e+01 3.221992e+00 5.999398e-01
2.482868e+01 3.195304e+00 6.125455e-01
2.524516e+01 3.168837e+00 6.254160e-01
2.566863e+01 3.142589e+00 6.385570e-01
2.609920e+01 3.116559e+00 6.519740e-01
2.653700e+01 3.090744e+00 6.656730e-01
2.698214e+01 3.065143e+00 6.796598e-01
2.743474e+01 3.039755e+00 6.939405e-01
2.789494e+01 3.014576e+00 7.085213e-01
2.836286e+01 2.989606e+00 7.234084e-01
2.883863e+01 2.964843e+00 7.386084e-01
2.932237e+01 2.940285e+00 7.541277e-01
2.981423e+01 2.915930e+00 7.699731e-01
3.031435e+01 2.891777e+00 7.861514e-01
3.082285e+01 2.867825e+00 8.026697e-01
3.133988e+01 2.844070e+00 8.195350e-01
3.186558e+01 2.820513e+00 8.367547e-01
3.240011e+01 2.797150e+00 8.543362e-01
3.294359e+01 2.773981e+00 8.722872e-01
3.349620e+01 2.751004e+00 8.906153e-01
3.405807e+01 2.728217e+00 9.093285e-01
3.462937e+01 2.705619e+00 9.284349e-01
3.521026e+01 2.683208e+00 9.479428e-01
3.580088e+01 2.660983e+00 9.678605e-01
3.640142e+01 2.638942e+00 9.881968e-01
3.701202e+01 2.617083e+00 1.008960e+00
3.763287e+01 2.595406e+00 1.030160e+00
3.826414e+01 2.573908e+00 1.051805e+00
3.890599e+01 2.552588e+00 1.073906e+00
3.955861e+01 2.531445e+00 1.096470e+00
4.022218e+01 2.510477e+00 1.119508e+00
4.089688e+01 2.489682e+00 1.143031e+00
4.158289e+01 2.469060e+00 1.167048e+00
4.228041e+01 2.448609e+00 1.191569e+00
4.298964e+01 2.428327e+00 1.216606e+00
4.371076e+01 2.408213e+00 1.242169e+00
4.444397e+01 2.388265e+00 1.268269e+00
4.518949e+01 2.368483e+00 1.294917e+00
4.594751e+01 2.348865e+00 1.322126e+00
4.671825e+01 2.329409e+00 1.349905e+00
4.750191e+01 2.310114e+00 1.378269e+00
4.829872e+01 2.290979e+00 1.407229e+00
4.910890e+01 2.272003e+00 1.436797e+00
4.993266e+01 2.253184e+00 1.466986e+00
5.077025e+01 2.234520e+00 1.497810e+00
5.162188e+01 2.216012e+00 1.529281e+00
5.248780e+01 2.197656e+00 1.561414e+00
5.336825e+01 2.179453e+00 1.594221e+00
5.426346e+01 2.161400e+00 1.627719e+00
5.517369e+01 2.143497e+00 1.661920e+00
5.609919e+01 2.125743e+00 1.696839e+00
5.704021e+01 2.108135e+00 1.732492e+00
5.799702e+01 2.090673e+00 1.768895e+00
5.896988e+01 2.073356e+00 1.806062e+00
5.995906e+01 2.056182e+00 1.844010e+00
6.096483e+01 2.039151e+00 1.882756e+00
6.198747e+01 2.022260e+00 1.922315e+00
6.302726e+01 2.005510e+00 1.962706e+00
6.408450e+01 1.988898e+00 2.003946e+00
6.515947e+01 1.972424e+00 2.046052e+00
6.625247e+01 1.956086e+00 2.089043e+00
6.736381e+01 1.939884e+00 2.132937e+00
6.849379e+01 1.923815e+00 2.177753e+00
6.964273e+01 1.907880e+00 2.223511e+00
7.081093e+01 1.892077e+00 2.270231e+00
7.199873e+01 1.876405e+00 2.317932e+00
7.320646e+01 1.860862e+00 2.366635e+00
7.443445e+01 1.845449e+00 2.416362e+00
7.568303e+01 1.830163e+00 2.467134e+00
7.695256e+01 1.815003e+00 2.518972e+00
7.824338e+01 1.799970e+00 2.571900e+00
7.955586e+01 1.785060e+00 2.625939e+00
8.089035e+01 1.770275e+00 2.681114e+00
8.224723e+01 1.755611e+00 2.737449e+00
8.362687e+01 1.741069e+00 2.794967e+00
8.502965e+01 1.726648e+00 2.853694e+00
8.645596e+01 1.712346e+00 2.913654e+00
8.790619e+01 1.698163e+00 2.974875e+00
8.938076e+01 1.684096e+00 3.037382e+00
9.088005e+01 1.670147e+00 3.101202e+00
9.240450e+01 1.656313e+00 3.166363e+00
9.395452e+01 1.642594e+00 3.232893e+00
9.553054e+01 1.628988e+00 3.300821e+00
9.713299e+01 1.615495e+00 3.370177e+00
9.876233e+01 1.602114e+00 3.440990e+00
1.004190e+02 1.588843e+00 3.513290e+00
1.021035e+02 1.575683e+00 3.587110e+00
1.038162e+02 1.562631e+00 3.662481e+00
1.055576e+02 1.549688e+00 3.739436e+00
1.073283e+02 1.536852e+00 3.818007e+00
1.091286e+02 1.524122e+00 3.898230e+00
1.109592e+02 1.511497e+00 3.980138e+00
1.128204e+02 1.498978e+00 4.063767e+00
1.147129e+02 1.486561e+00 4.149153e+00
1.166371e+02 1.474248e+00 4.236333e+00
1.185936e+02 1.462037e+00 4.325345e+00
1.205830e+02 1.449927e+00 4.416227e+00
1.226057e+02 1.437917e+00 4.509019e+00
1.246623e+02 1.426006e+00 4.603761e+00
1.267534e+02 1.414195e+00 4.700493e+00
1.288796e+02 1.402481e+00 4.799258e+00
1.310414e+02 1.390864e+00 4.900098e+00
1.332396e+02 1.379343e+00 5.003057e+00
