# rau, sigma_g, hau_mid
7.081093e+01 3.808475e+01 4.540461e+00
7.199873e+01 3.730556e+01 4.635864e+00
7.320646e+01 3.653475e+01 4.733270e+00
7.443445e+01 3.577226e+01 4.832724e+00
7.568303e+01 3.501807e+01 4.934267e+00
7.695256e+01 3.427213e+01 5.037944e+00
7.824338e+01 3.353440e+01 5.143799e+00
7.955586e+01 3.280486e+01 5.251878e+00
8.089035e+01 3.208347e+01 5.362229e+00
8.224723e+01 3.137021e+01 5.474898e+00
8.362687e+01 3.066506e+01 5.589934e+00
8.502965e+01 2.996798e+01 5.707387e+00
8.645596e+01 2.927897e+01 5.827308e+00
8.790619e+01 2.859801e+01 5.949749e+00
8.938076e+01 2.792508e+01 6.074763e+00
9.088005e+01 2.726018e+01 6.202404e+00
9.240450e+01 2.660329e+01 6.332726e+00
9.395452e+01 2.595442e+01 6.465786e+00
9.553054e+01 2.531357e+01 6.601643e+00
9.713299e+01 2.468072e+01 6.740354e+00
9.876233e+01 2.405589e+01 6.881979e+00
1.004190e+02 2.343908e+01 7.026581e+00
1.021035e+02 2.283029e+01 7.174220e+00
1.038162e+02 2.222955e+01 7.324962e+00
1.055576e+02 2.163685e+01 7.478871e+00
1.073283e+02 2.105221e+01 7.636014e+00
1.091286e+02 2.047566e+01 7.796459e+00
1.109592e+02 1.990720e+01 7.960275e+00
1.128204e+02 1.934685e+01 8.127533e+00
1.147129e+02 1.879465e+01 8.298305e+00
1.166371e+02 1.825060e+01 8.472666e+00
1.185936e+02 1.771474e+01 8.650690e+00
1.205830e+02 1.718708e+01 8.832455e+00
1.226057e+02 1.666766e+01 9.018039e+00
1.246623e+02 1.615651e+01 9.207522e+00
1.267534e+02 1.565364e+01 9.400987e+00
1.288796e+02 1.515909e+01 9.598517e+00
1.310414e+02 1.467288e+01 9.800197e+00
1.332396e+02 1.419505e+01 1.000611e+01
1.354746e+02 1.372563e+01 1.021636e+01
1.377471e+02 1.326464e+01 1.043102e+01
1.400577e+02 1.281210e+01 1.065019e+01
1.424070e+02 1.236806e+01 1.087397e+01
1.447958e+02 1.193253e+01 1.110245e+01
1.472247e+02 1.150554e+01 1.133573e+01
1.496942e+02 1.108712e+01 1.157391e+01
1.522053e+02 1.067728e+01 1.181710e+01
1.547584e+02 1.027605e+01 1.206539e+01
1.573543e+02 9.883443e+00 1.231891e+01
1.599939e+02 9.499481e+00 1.257775e+01
1.626776e+02 9.124175e+00 1.284203e+01
1.654064e+02 8.757535e+00 1.311186e+01
1.681810e+02 8.399570e+00 1.338736e+01
1.710021e+02 8.050283e+00 1.366865e+01
1.738706e+02 7.709676e+00 1.395585e+01
1.767871e+02 7.377744e+00 1.424908e+01
1.797526e+02 7.054481e+00 1.454848e+01
1.827678e+02 6.739874e+00 1.485417e+01
1.858336e+02 6.433907e+00 1.516628e+01
1.889508e+02 6.136559e+00 1.548494e+01
1.921203e+02 5.847802e+00 1.581031e+01
1.953430e+02 5.567606e+00 1.614251e+01
1.986198e+02 5.295932e+00 1.648169e+01
2.019515e+02 5.032738e+00 1.682799e+01
2.053391e+02 4.777973e+00 1.718158e+01
2.087835e+02 4.531584e+00 1.754259e+01
2.122857e+02 4.293508e+00 1.791119e+01
2.158466e+02 4.063677e+00 1.828753e+01
2.194673e+02 3.842018e+00 1.867178e+01
2.231487e+02 3.628449e+00 1.906410e+01
2.268918e+02 3.422881e+00 1.946467e+01
2.306978e+02 3.225222e+00 1.987366e+01
2.345676e+02 3.035370e+00 2.029123e+01
2.385023e+02 2.853218e+00 2.071758e+01
2.425030e+02 2.678650e+00 2.115289e+01
2.465708e+02 2.511546e+00 2.159735e+01
2.507068e+02 2.351778e+00 2.205114e+01
2.549123e+02 2.199213e+00 2.251447e+01
2.591882e+02 2.053710e+00 2.298754e+01
2.635359e+02 1.915123e+00 2.347054e+01
2.679565e+02 1.783300e+00 2.396370e+01
2.724513e+02 1.658084e+00 2.446721e+01
2.770215e+02 1.539313e+00 2.498131e+01
2.816683e+02 1.426817e+00 2.550621e+01
2.863931e+02 1.320426e+00 2.604213e+01
2.911972e+02 1.219962e+00 2.658932e+01
2.960818e+02 1.125245e+00 2.714800e+01
3.010483e+02 1.036091e+00 2.771843e+01
3.060982e+02 9.523134e-01 2.830084e+01
3.112328e+02 8.737225e-01 2.889548e+01
3.164535e+02 8.001271e-01 2.950262e+01
3.217618e+02 7.313340e-01 3.012252e+01
3.271591e+02 6.671492e-01 3.075544e+01
3.326469e+02 6.073781e-01 3.140166e+01
3.382269e+02 5.518260e-01 3.206146e+01
3.439004e+02 5.002990e-01 3.273513e+01
3.496690e+02 4.526040e-01 3.342294e+01
3.555345e+02 4.085494e-01 3.412521e+01
3.614983e+02 3.679459e-01 3.484224e+01
3.675622e+02 3.306067e-01 3.557433e+01
3.737278e+02 2.963481e-01 3.632181e+01
3.799968e+02 2.649897e-01 3.708498e+01
3.863710e+02 2.363554e-01 3.786420e+01
3.928521e+02 2.102733e-01 3.865979e+01
3.994419e+02 1.865763e-01 3.947209e+01
4.061422e+02 1.651026e-01 4.030146e+01
4.129550e+02 1.456956e-01 4.114826e+01
4.198820e+02 1.282046e-01 4.201285e+01
4.269252e+02 1.124849e-01 4.289561e+01
4.340866e+02 9.839807e-02 4.379692e+01
4.413681e+02 8.581191e-02 4.471716e+01
4.487717e+02 7.460082e-02 4.565674e+01
4.562995e+02 6.464580e-02 4.661606e+01
4.639536e+02 5.583444e-02 4.759554e+01
4.717361e+02 4.806103e-02 4.859560e+01
4.796491e+02 4.122643e-02 4.961667e+01
4.876949e+02 3.523807e-02 5.065920e+01
4.958756e+02 3.000981e-02 5.172363e+01
